(1+2340) 2341/1
(1-2340) -2339/1
(1*2340) 2340/1
(1/2340) 1/2340
(12+340) 352/1
(12-340) -328/1
(12*340) 4080/1
(12/340) 3/85
(1+(2+340)) 343/1
((1+2)+340) 343/1
(1-(2+340)) -341/1
((1-2)+340) 339/1
(1*(2+340)) 342/1
((1*2)+340) 342/1
(1/(2+340)) 1/342
((1/2)+340) 681/2
(1+(2-340)) -337/1
((1+2)-340) -337/1
(1-(2-340)) 339/1
((1-2)-340) -341/1
(1*(2-340)) -338/1
((1*2)-340) -338/1
(1/(2-340)) -1/338
((1/2)-340) -679/2
(1+(2*340)) 681/1
((1+2)*340) 1020/1
(1-(2*340)) -679/1
((1-2)*340) -340/1
(1*(2*340)) 680/1
((1*2)*340) 680/1
(1/(2*340)) 1/680
((1/2)*340) 170/1
(1+(2/340)) 171/170
((1+2)/340) 3/340
(1-(2/340)) 169/170
((1-2)/340) -1/340
(1*(2/340)) 1/170
((1*2)/340) 1/170
(1/(2/340)) 170/1
((1/2)/340) 1/680
(123+40) 163/1
(123-40) 83/1
(123*40) 4920/1
(123/40) 123/40
(1+(23+40)) 64/1
((1+23)+40) 64/1
(1-(23+40)) -62/1
((1-23)+40) 18/1
(1*(23+40)) 63/1
((1*23)+40) 63/1
(1/(23+40)) 1/63
((1/23)+40) 921/23
(1+(23-40)) -16/1
((1+23)-40) -16/1
(1-(23-40)) 18/1
((1-23)-40) -62/1
(1*(23-40)) -17/1
((1*23)-40) -17/1
(1/(23-40)) -1/17
((1/23)-40) -919/23
(1+(23*40)) 921/1
((1+23)*40) 960/1
(1-(23*40)) -919/1
((1-23)*40) -880/1
(1*(23*40)) 920/1
((1*23)*40) 920/1
(1/(23*40)) 1/920
((1/23)*40) 40/23
(1+(23/40)) 63/40
((1+23)/40) 3/5
(1-(23/40)) 17/40
((1-23)/40) -11/20
(1*(23/40)) 23/40
((1*23)/40) 23/40
(1/(23/40)) 40/23
((1/23)/40) 1/920
(12+(3+40)) 55/1
((12+3)+40) 55/1
(12-(3+40)) -31/1
((12-3)+40) 49/1
(12*(3+40)) 516/1
((12*3)+40) 76/1
(12/(3+40)) 12/43
((12/3)+40) 44/1
(12+(3-40)) -25/1
((12+3)-40) -25/1
(12-(3-40)) 49/1
((12-3)-40) -31/1
(12*(3-40)) -444/1
((12*3)-40) -4/1
(12/(3-40)) -12/37
((12/3)-40) -36/1
(12+(3*40)) 132/1
((12+3)*40) 600/1
(12-(3*40)) -108/1
((12-3)*40) 360/1
(12*(3*40)) 1440/1
((12*3)*40) 1440/1
(12/(3*40)) 1/10
((12/3)*40) 160/1
(12+(3/40)) 483/40
((12+3)/40) 3/8
(12-(3/40)) 477/40
((12-3)/40) 9/40
(12*(3/40)) 9/10
((12*3)/40) 9/10
(12/(3/40)) 160/1
((12/3)/40) 1/10
(1+(2+(3+40))) 46/1
(1+((2+3)+40)) 46/1
((1+2)+(3+40)) 46/1
((1+(2+3))+40) 46/1
(((1+2)+3)+40) 46/1
(1-(2+(3+40))) -44/1
(1-((2+3)+40)) -44/1
